,name,year,selling_price,km_driven,transmission,owner,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer
38,Maruti Wagon R VXI BS IV,2012.0,275000.0,60000.0,1,2,False,False,False,True,True,False
39,Mahindra Scorpio LX,2009.0,411000.0,120000.0,1,2,True,False,False,False,True,False
40,Hyundai Santro Xing GLS,2009.0,150000.0,79000.0,1,4,False,False,False,True,True,False
41,Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,1,0,False,False,False,True,True,False
42,Maruti Alto LXi,2006.0,100000.0,80000.0,1,0,False,False,False,True,True,False
43,Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,1,0,True,False,False,False,False,False
44,Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,1,0,False,False,False,True,False,False
45,Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,1,0,True,False,False,False,False,False
46,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,1,0,False,False,False,True,False,False
47,Maruti Swift ZDi BSIV,2016.0,665000.0,46000.0,1,0,True,False,False,False,False,False
48,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,1,0,True,False,False,False,False,False
49,Maruti Alto LXi,2012.0,160000.0,60000.0,1,2,False,False,False,True,True,False
50,Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,1,2,True,False,False,False,True,False
51,Honda City i DTEC VX,2014.0,675000.0,90000.0,1,0,True,False,False,False,False,False
52,Maruti Wagon R VXI BS IV,2013.0,300000.0,80000.0,1,0,False,False,False,True,False,False
53,Tata Indica DLS,2005.0,70000.0,80000.0,1,0,True,False,False,False,True,False
54,Hyundai EON Magna Plus,2014.0,240000.0,73300.0,1,2,False,False,False,True,False,False
55,Toyota Etios GD,2014.0,525000.0,92000.0,1,0,True,False,False,False,False,False
56,Maruti Alto LXi,2009.0,151000.0,66764.0,1,2,False,False,False,True,False,False
57,Maruti Alto LXi,2009.0,140000.0,100000.0,1,0,False,False,False,True,True,False
58,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,1,2,True,False,False,False,True,False
59,Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,1,0,True,False,False,False,True,False
60,Mahindra Scorpio 1.99 S6 Plus,2017.0,570000.0,60000.0,1,0,True,False,False,False,True,False
61,Hyundai EON Magna Plus,2018.0,300000.0,31000.0,1,0,False,False,False,True,True,False
62,Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,1,0,True,False,False,False,True,False
63,Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,1,4,True,False,False,False,True,False
64,Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,1,1,True,False,False,False,True,False
65,Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,1,4,False,False,False,True,True,False
66,Ford EcoSport 1.5 Diesel Titanium BSIV,2017.0,925000.0,35000.0,1,0,True,False,False,False,True,False
67,Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,1,0,True,False,False,False,True,False
68,Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,0,2,False,False,False,True,True,False
69,Hyundai i10 Sportz 1.2,2010.0,248000.0,63000.0,1,2,False,False,False,True,True,False
70,Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,1,2,True,False,False,False,True,False
71,Hyundai Getz GLS,2005.0,504355.83229527104,120000.0,1,4,False,False,False,True,True,False
72,Nissan Terrano XL,2014.0,650000.0,76000.0,1,2,False,False,False,True,True,False
73,Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,1,0,True,False,False,False,True,False
74,Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,1,0,True,False,False,False,True,False
75,Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,1,0,False,False,False,True,False,False
76,Honda Brio S MT,2015.0,371000.0,20000.0,1,0,False,False,False,True,False,False
77,Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,1,0,False,False,False,True,False,False
78,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017.0,8150000.0,6500.0,0,0,True,False,False,False,False,False
79,Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,1,0,True,False,False,False,True,False
80,Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,1,0,True,False,False,False,True,False
81,Hyundai Santro Xing XO,2007.0,80000.0,58000.0,1,2,False,False,False,True,False,False
82,Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,1,0,True,False,False,False,False,False
83,Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,0,2,True,False,False,False,False,False
84,Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,1,2,True,False,False,False,True,False
85,Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,0,0,True,False,False,False,False,False
86,Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,1,2,False,False,False,True,False,False
87,Volkswagen Jetta 1.4 TSI Comfortline,2013.0,450000.0,50000.0,1,0,False,False,False,True,True,False
88,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,0,0,True,False,False,False,False,False
89,Honda Civic 1.8 V AT,2009.0,210000.0,63500.0,0,0,False,False,False,True,False,False
90,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,9800.0,0,0,False,False,False,True,False,False
91,BMW X1 sDrive 20d xLine,2017.0,2750000.0,13000.0,0,0,True,False,False,False,True,False
92,Volvo V40 D3 R Design,2018.0,1975000.0,21000.0,0,0,True,False,False,False,False,False
93,Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,1,0,False,False,False,True,False,False
94,BMW 7 Series 730Ld,2012.0,2500000.0,48000.0,0,0,True,False,False,False,False,False
95,Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,1,0,True,False,False,False,True,False
96,Hyundai Sonata CRDi M/T,2010.0,600000.0,100000.0,1,0,True,False,False,False,True,False
97,Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,1,0,False,False,False,True,True,False
98,Mahindra Xylo D4,2018.0,750000.0,87000.0,1,0,True,False,False,False,True,False
99,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,1,0,False,False,False,True,True,False
100,Renault KWID RXT,2017.0,315000.0,16000.0,1,0,False,False,False,True,True,False
101,Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,1,0,True,False,False,False,True,False
102,Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,1,1,False,False,False,True,True,False
103,Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,1,4,False,False,False,True,True,False
104,Renault KWID RXT,2017.0,350000.0,25000.0,1,0,False,False,False,True,True,False
105,Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,1,0,True,False,False,False,True,False
106,Maruti Swift Dzire VDI,2014.0,434000.0,79350.0,1,2,True,False,False,False,True,False
107,Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,0,0,False,False,False,True,True,False
108,Mahindra Scorpio LX BSIV,2014.0,555000.0,90000.0,1,2,True,False,False,False,True,False
109,Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,1,2,False,False,False,True,True,False
110,Maruti Ertiga VDI,2014.0,500000.0,120000.0,1,2,True,False,False,False,True,False
111,Chevrolet Beat Diesel,2013.0,165000.0,60000.0,1,2,True,False,False,False,True,False
112,Maruti Zen LX,2004.0,95000.0,50000.0,1,0,False,False,False,True,True,False
113,Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,1,0,False,False,False,True,True,False
114,Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,1,1,True,False,False,False,True,False
115,Tata Nano Lx BSIV,2012.0,100000.0,50000.0,1,2,False,False,False,True,True,False
116,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,1,0,True,False,False,False,True,False
117,Maruti Ertiga SHVS VDI,2016.0,800000.0,70000.0,1,2,True,False,False,False,True,False
118,Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,1,2,True,False,False,False,True,False
119,Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,1,0,False,False,False,True,True,False
120,Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,81000.0,1,2,True,False,False,False,True,False
121,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,120000.0,1,4,True,False,False,False,True,False
122,Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,1,0,True,False,False,False,False,False
123,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,1,0,False,False,False,True,False,False
124,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,49213.0,1,0,True,False,False,False,False,False
125,Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,1,0,False,False,False,True,True,False
126,Maruti 800 Std,1998.0,40000.0,40000.0,1,1,False,False,False,True,True,False
127,Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,1,0,False,False,False,True,True,False
128,Hyundai EON Era Plus,2015.0,200000.0,70000.0,1,0,False,False,False,True,True,False
129,Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,1,0,True,False,False,False,True,False
130,Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,1,0,False,False,False,True,True,False
131,Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,1,0,True,False,False,False,True,False
132,Maruti 800 AC BSIII,2005.0,100000.0,30000.0,1,0,False,False,False,True,True,False
133,Hyundai EON Era Plus,2013.0,280000.0,3240.0,1,2,False,False,False,True,True,False
134,Hyundai i20 Magna 1.2,2015.0,540000.0,5000.0,1,0,False,False,False,True,True,False
135,Hyundai i20 1.2 Asta,2018.0,700000.0,10000.0,1,0,False,False,False,True,True,False
136,Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,1,0,True,False,False,False,True,False
137,Hyundai i20 Asta 1.4 CRDi,2016.0,430000.0,80000.0,1,0,True,False,False,False,True,False
138,Hyundai Santro LE,2002.0,65000.0,70000.0,1,0,False,False,False,True,True,False
139,Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,1,0,True,False,False,False,True,False
140,Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,1,2,False,False,False,True,True,False
141,Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,1,0,False,False,False,True,True,False
142,Mahindra Quanto C8,2012.0,195000.0,140000.0,1,2,True,False,False,False,True,False
143,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,1,0,True,False,False,False,True,False
144,Hyundai EON Magna Plus,2012.0,170000.0,60000.0,1,0,False,False,False,True,True,False
145,Renault KWID RXT,2016.0,225000.0,25000.0,1,0,False,False,False,True,True,False
146,Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,1,0,False,False,True,False,True,False
147,Maruti Wagon R LXI,2020.0,240000.0,120000.0,1,0,False,False,False,True,True,False
148,Chevrolet Enjoy 1.3 TCDi LS 8,2015.0,300000.0,175000.0,1,0,True,False,False,False,True,False
149,Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,1,4,False,False,False,True,True,False
150,Honda City i VTEC SV,2014.0,620000.0,36000.0,1,0,False,False,False,True,True,False
151,Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,1,0,True,False,False,False,True,False
152,Jaguar XJ 5.0 L V8 Supercharged,2010.0,2550000.0,40000.0,0,2,False,False,False,True,True,False
153,Honda Brio E MT,2013.0,260000.0,70000.0,1,2,False,False,False,True,True,False
154,Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,1,0,False,False,False,True,True,False
155,Tata Indigo CR4,2011.0,150000.0,155500.0,1,0,True,False,False,False,True,False
156,Hyundai i10 Asta AT,2011.0,350000.0,50000.0,0,2,False,False,False,True,True,False
157,Chevrolet Beat LT,2016.0,320000.0,40000.0,1,0,False,False,False,True,True,False
158,Maruti Swift VDI BSIV,2015.0,400000.0,100000.0,1,4,True,False,False,False,True,False
159,Maruti Alto LXi,2012.0,175000.0,80000.0,1,4,False,False,False,True,True,False
160,Chevrolet Beat LT,2011.0,120000.0,90000.0,1,2,False,False,False,True,True,False
161,Renault Duster 110PS Diesel RxZ,2013.0,320000.0,90000.0,1,2,True,False,False,False,True,False
162,Hyundai Santro Xing XG,2006.0,70000.0,110000.0,1,4,False,False,False,True,True,False
163,Maruti Swift Dzire ZXI Plus,2019.0,810000.0,15000.0,1,0,False,False,False,True,True,False
164,Maruti 800 AC,2007.0,95000.0,100000.0,1,2,False,False,False,True,True,False
165,Maruti Alto K10 LXI CNG,2020.0,282000.0,40000.0,1,0,False,False,False,False,True,False
166,Maruti 800 Std BSII,2004.0,80000.0,60000.0,1,2,False,False,False,True,True,False
167,Tata Nano LX SE,2013.0,72000.0,25000.0,1,0,False,False,False,True,True,False
168,Hyundai i20 Magna 1.2,2016.0,600000.0,25000.0,1,0,False,False,False,True,True,False
169,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015.0,640000.0,23000.0,1,0,False,False,False,True,True,False
170,Maruti Alto K10 VXI,2018.0,380000.0,22155.0,1,0,False,False,False,True,True,False
171,Maruti Ciaz 1.4 Delta,2018.0,650000.0,70000.0,1,0,False,False,False,True,True,False
172,Maruti Alto LX,2009.0,150000.0,60000.0,1,2,False,False,False,True,True,False
173,Hyundai i20 Asta,2009.0,280000.0,110000.0,1,2,False,False,False,True,True,False
174,Tata Nexon 1.2 Revotron XM,2018.0,430000.0,30000.0,1,0,False,False,False,True,True,False
175,Mahindra Bolero Power Plus SLX,2019.0,800000.0,15000.0,1,0,True,False,False,False,True,False
176,Maruti Zen D,2003.0,75000.0,100000.0,1,2,True,False,False,False,True,False
177,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016.0,650000.0,70000.0,0,0,True,False,False,False,True,False
178,Maruti Eeco 7 Seater Standard BSIV,2017.0,390000.0,24000.0,1,0,False,False,False,True,True,False
179,Honda City 1.5 EXI,2005.0,100000.0,120000.0,1,2,False,False,False,True,True,False
180,Mercedes-Benz New C-Class 220 CDI AT,2013.0,1500000.0,35000.0,0,0,True,False,False,False,True,False
181,Maruti SX4 Zxi with Leather BSIII,2007.0,175000.0,78380.0,1,0,False,False,False,True,True,False
182,Renault Duster 110PS Diesel RxZ,2012.0,434999.0,110000.0,1,2,True,False,False,False,True,False
183,Ford Figo Diesel Titanium,2010.0,170000.0,90000.0,1,4,True,False,False,False,True,False
184,Ford Figo Diesel Titanium,2011.0,190000.0,90000.0,1,4,True,False,False,False,True,False
185,Maruti Swift Dzire VDi,2009.0,250000.0,150000.0,1,4,True,False,False,False,True,False
186,Mahindra Xylo E4,2009.0,229999.0,230000.0,1,4,True,False,False,False,True,False
187,Maruti Esteem Vxi - BSIII,2006.0,140000.0,70000.0,1,4,False,False,False,True,True,False
188,Maruti Swift VDI BSIV,2017.0,600000.0,80362.0,1,0,True,False,False,False,True,False
189,Hyundai i20 1.2 Sportz,2012.0,280000.0,110000.0,1,4,False,False,False,True,True,False
190,Chevrolet Beat Diesel LT,2012.0,150000.0,60000.0,1,0,True,False,False,False,True,False
191,Chevrolet Cruze LTZ AT,2015.0,650000.0,50000.0,0,0,True,False,False,False,True,False
192,Nissan Micra XL,2014.0,210000.0,40000.0,1,2,False,False,False,True,True,False
193,BMW 5 Series 520d Luxury Line,2017.0,2900000.0,40000.0,0,0,True,False,False,False,True,False
194,Chevrolet Enjoy 1.3 TCDi LS 8,2013.0,425000.0,20000.0,1,0,True,False,False,False,False,False
195,Hyundai EON Era Plus Option,2014.0,265000.0,55000.0,1,0,False,False,False,True,False,False
196,Fiat Linea T Jet Emotion,2018.0,890000.0,1136.0,1,0,False,False,False,True,False,False
197,Renault Scala RxL,2013.0,365000.0,55000.0,1,0,False,False,False,True,False,False
198,Ford Figo Petrol Titanium,2014.0,350000.0,43000.0,1,0,False,False,False,True,False,False
199,Maruti Ciaz ZDi SHVS,2016.0,685000.0,60000.0,1,0,True,False,False,False,True,False
200,Skoda Rapid 1.5 TDI Ambition BSIV,2018.0,940000.0,2650.0,1,0,True,False,False,False,False,False
201,Mahindra XUV500 W6 2WD,2017.0,1000000.0,40000.0,1,0,True,False,False,False,True,False
202,Mahindra XUV300 W8 Option,2019.0,1150000.0,15000.0,1,0,False,False,False,True,False,False
203,Maruti Ertiga SHVS ZDI,2016.0,450000.0,115962.0,1,2,True,False,False,False,True,False
204,Nissan Terrano XE D,2015.0,590000.0,65000.0,1,0,True,False,False,False,False,False
205,Maruti S-Cross Facelift,2017.0,800000.0,40000.0,1,0,True,False,False,False,True,False
206,Hyundai i20 Magna 1.4 CRDi (Diesel),2012.0,385000.0,58000.0,1,0,True,False,False,False,False,False
207,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013.0,2000000.0,15000.0,0,0,True,False,False,False,True,False
208,Hyundai EON Era Plus,2012.0,235000.0,54000.0,1,0,False,False,False,True,False,False
209,Volkswagen Ameo 1.5 TDI Highline,2017.0,640000.0,56000.0,1,0,True,False,False,False,False,False
210,Maruti Alto LX,2006.0,52000.0,120000.0,1,4,False,False,False,True,True,False
211,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009.0,80000.0,90000.0,1,2,False,False,True,False,True,False
212,Maruti Alto LX,2012.0,140000.0,70000.0,1,2,False,False,False,True,True,False
213,Hyundai Verna i (Petrol),2008.0,120000.0,90000.0,1,2,False,False,False,True,True,False
214,Mahindra Renault Logan 1.5 DLS,2008.0,89999.0,213000.0,1,0,True,False,False,False,True,False
215,Chevrolet Optra Magnum 2.0 LS BSIII,2012.0,180000.0,120000.0,1,0,True,False,False,False,True,False
216,Mahindra Scorpio S11 BSIV,2017.0,1500000.0,20000.0,1,0,True,False,False,False,True,False
217,Hyundai i20 Active 1.2 SX,2017.0,700000.0,10000.0,1,0,False,False,False,True,True,False
218,Maruti SX4 Celebration Diesel,2012.0,285000.0,80000.0,1,2,True,False,False,False,True,False
219,Hyundai Grand i10 Magna,2015.0,390000.0,90000.0,1,0,False,False,False,True,True,False
220,Maruti Alto LXi BSIII,2008.0,125000.0,80000.0,1,0,False,False,False,True,True,False
221,Maruti SX4 Zxi with Leather BSIII,2008.0,225000.0,60000.0,1,2,False,False,False,True,True,False
222,Hyundai i10 Era,2011.0,175000.0,139000.0,1,2,False,False,False,True,True,False
223,Toyota Innova 2.5 V Diesel 7-seater,2011.0,1075000.0,160000.0,1,2,True,False,False,False,True,False
224,Honda Mobilio V i DTEC,2014.0,300000.0,150000.0,1,0,True,False,False,False,True,False
225,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010.0,700000.0,163000.0,1,1,True,False,False,False,True,False
226,Tata Indica V2 2001-2011 DLS BSIII,2009.0,90000.0,120000.0,1,0,True,False,False,False,False,False
227,Tata Indica Vista TDI LS,2011.0,120000.0,120000.0,1,2,True,False,False,False,True,False
228,Chevrolet Beat Diesel LS,2012.0,220000.0,100000.0,1,2,True,False,False,False,True,False
229,Tata Zest Quadrajet 1.3 75PS XE,2015.0,300000.0,140000.0,1,0,True,False,False,False,False,False
230,Skoda Fabia 1.2L Diesel Ambiente,2010.0,180000.0,87000.0,1,2,True,False,False,False,False,False
231,Maruti 800 Std,2013.0,170000.0,70000.0,1,0,False,False,False,True,True,False
232,Ford Figo Petrol Titanium,2015.0,300000.0,50000.0,1,2,False,False,False,True,True,False
233,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014.0,1050000.0,70000.0,1,0,True,False,False,False,True,False
234,Hyundai Grand i10 1.2 CRDi Asta,2018.0,465000.0,25000.0,1,0,True,False,False,False,True,False
235,Chevrolet Beat Diesel LT,2011.0,130000.0,80000.0,1,2,True,False,False,False,True,False
236,Datsun GO Plus T Option Petrol,2018.0,434999.0,10000.0,1,0,False,False,False,True,True,False
237,Hyundai Grand i10 1.2 Kappa Asta,2018.0,500000.0,32000.0,1,0,False,False,False,True,True,False
238,Maruti Omni MPI STD BSIV,2018.0,200000.0,10000.0,1,0,False,False,False,True,True,False
239,Maruti Baleno Alpha 1.2,2017.0,625000.0,52000.0,1,0,False,False,False,True,False,False
240,Ford Fiesta Classic 1.4 SXI Duratorq,2006.0,110000.0,120000.0,1,4,True,False,False,False,True,False
241,Hyundai Elite i20 Asta Option BSIV,2019.0,800000.0,11240.0,1,0,False,False,False,True,True,False
242,Hyundai Grand i10 CRDi Magna,2017.0,490000.0,66000.0,1,0,True,False,False,False,False,False
243,Maruti Ertiga SHVS ZDI,2017.0,880000.0,64000.0,1,0,True,False,False,False,False,False
244,Hyundai Santro Xing GL Plus,2013.0,290000.0,49000.0,1,0,False,False,False,True,True,False
245,Tata Sumo GX TC 7 Str BSIII,2006.0,115999.0,100000.0,1,2,True,False,False,False,True,False
246,Renault KWID RXT,2018.0,360000.0,26500.0,1,0,False,False,False,True,True,False
247,Maruti 800 AC,2002.0,65000.0,100000.0,1,2,False,False,False,True,True,False
248,Maruti Vitara Brezza LDi Option,2017.0,685000.0,72000.0,1,0,True,False,False,False,False,False
249,Honda Jazz S,2009.0,300000.0,50000.0,1,0,False,False,False,True,True,False
250,Hyundai i20 1.4 Sportz,2017.0,680000.0,44000.0,1,0,True,False,False,False,False,False
251,Maruti Ertiga SHVS ZDI Plus,2017.0,1000000.0,60000.0,1,2,True,False,False,False,True,False
252,Tata Sumo SE Plus BSIII,2002.0,100000.0,120000.0,1,0,True,False,False,False,True,False
253,Mahindra Xylo E4,2010.0,160000.0,130000.0,1,0,True,False,False,False,True,False
254,Maruti Swift ZDi BSIV,2017.0,450000.0,70000.0,1,0,True,False,False,False,True,False
255,Maruti Ertiga VXI,2014.0,600000.0,20000.0,1,0,False,False,False,True,True,False
256,Hyundai i20 1.4 Magna ABS,2009.0,180000.0,60000.0,1,2,True,False,False,False,True,False
257,Maruti Alto LXi,2007.0,100000.0,195000.0,1,0,False,False,False,True,True,False
258,Maruti Alto LXi,2010.0,120000.0,90000.0,1,2,False,False,False,True,True,False
259,Hyundai Getz GL,2006.0,130000.0,80000.0,1,4,False,False,False,True,True,False
260,Maruti Wagon R LX BS IV,2011.0,160000.0,155000.0,1,0,False,False,False,True,True,False
261,Mahindra Bolero Power Plus SLX,2019.0,860000.0,35000.0,1,0,True,False,False,False,True,False
262,Hyundai i20 1.2 Spotz,2018.0,650000.0,20000.0,1,2,False,False,False,True,True,False
263,Maruti Wagon R LXI Minor,2010.0,100000.0,80000.0,1,2,False,False,False,True,True,False
264,Maruti Alto 800 VXI,2017.0,282000.0,20000.0,1,0,False,False,False,True,True,False
265,Hyundai i20 Asta (o),2009.0,300000.0,50000.0,1,0,False,False,False,True,True,False
266,Hyundai i20 Asta,2010.0,270000.0,110000.0,1,2,False,False,False,True,True,False
267,Hyundai Verna 1.6 SX CRDi (O),2013.0,550000.0,29000.0,1,0,True,False,False,False,True,False
268,Mahindra Xylo D2 BSIV,2013.0,450000.0,120000.0,1,0,True,False,False,False,True,False
269,Mahindra Bolero SLX 2WD BSIII,2011.0,430000.0,70000.0,1,2,True,False,False,False,True,False
270,Maruti Ertiga VXI ABS,2013.0,350000.0,40000.0,1,0,False,False,False,True,True,False
271,Honda Brio 1.2 E MT,2017.0,350000.0,20000.0,1,0,False,False,False,True,True,False
272,Toyota Etios Liva G,2013.0,229999.0,50000.0,1,2,False,False,False,True,True,False
273,Maruti Alto 800 LXI,2013.0,110000.0,50000.0,1,0,False,False,False,True,True,False
